time_unity	object	position	
11.82687	Floor	(0.29, -0.36, -2.70)	
11.84027	Floor	(0.29, -0.36, -2.82)	
11.85334	Floor	(0.26, -0.36, -2.85)	
11.86831	Floor	(0.24, -0.36, -2.79)	
11.87958	Floor	(0.26, -0.36, -2.82)	
11.89148	Floor	(0.29, -0.36, -2.78)	
11.90511	Floor	(0.29, -0.36, -2.78)	
11.91704	Floor	(0.27, -0.36, -2.73)	
11.92883	Floor	(0.30, -0.36, -2.78)	
11.94092	Floor	(0.34, -0.36, -2.85)	
11.95268	Floor	(0.35, -0.36, -2.88)	
11.96751	Floor	(0.24, -0.36, -2.68)	
11.98097	Floor	(0.22, -0.36, -2.76)	
11.99443	Floor	(0.17, -0.36, -2.83)	
12.00625	Floor	(0.16, -0.36, -2.84)	
12.01802	Floor	(0.20, -0.36, -2.85)	
12.03136	Floor	(0.19, -0.36, -2.81)	
12.04295	Floor	(0.15, -0.36, -2.75)	
12.05789	starting position	(-0.47, 1.22, 1.71)	
12.07129	Floor	(0.12, -0.36, -2.82)	
12.08252	Floor	(0.12, -0.36, -2.87)	
12.09405	Floor	(0.08, -0.36, -2.81)	
12.10601	Floor	(0.08, -0.36, -2.94)	
12.11818	Floor	(0.07, -0.36, -2.92)	
12.13347	Floor	(-0.02, -0.36, -3.11)	
12.14505	Floor	(-0.04, -0.36, -3.00)	
12.15746	Floor	(-0.02, -0.36, -2.95)	
12.1689	Floor	(-0.03, -0.36, -2.88)	
12.18104	Floor	(-0.02, -0.36, -2.90)	
12.19631	starting position	(-0.47, 1.24, 1.72)	
12.21153	starting position	(-0.47, 1.26, 1.79)	
12.22681	starting position	(-0.47, 1.27, 1.81)	
12.24137	starting position	(-0.47, 1.25, 1.76)	
12.25468	Floor	(-0.12, -0.36, -2.77)	
12.26757	starting position	(-0.47, 1.26, 1.81)	
12.28176	starting position	(-0.47, 1.32, 1.97)	
12.2951	starting position	(-0.46, 1.32, 1.97)	
12.30934	starting position	(-0.46, 1.32, 1.96)	
12.32203	starting position	(-0.44, 1.32, 1.94)	
12.33445	starting position	(-0.39, 1.32, 1.80)	
12.34705	starting position	(-0.37, 1.32, 1.81)	
12.36118	starting position	(-0.36, 1.32, 1.78)	
12.37418	starting position	(-0.36, 1.32, 1.78)	
12.38605	starting position	(-0.36, 1.32, 1.79)	
12.39884	starting position	(-0.34, 1.32, 1.81)	
